Job_Title,Company,Location,Experience,Job_URL
Project Control Engineer,Intrade -,"6th of October, Giza, Egypt",3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/ezasiyv4c17y-project-control-engineer-intrade-giza-egypt
Senior AI Engineer,Efada Technology -,"New Cairo, Cairo, Egypt",4+ Yrs of Exp,https://wuzzuf.net/jobs/p/e24mgm9chl4v-senior-ai-engineer-efada-technology-cairo-egypt
Associate Product Manager (Engineering Background),Menthum -,"Maadi, Cairo, Egypt",2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/q6qo9fkpy5ac-associate-product-manager-engineering-background-menthum-cairo-egypt
Software Development Manager,UNIPREP -,"Bengaluru, India",0 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/llqu0busdk8y-software-development-manager-uniprep-bengaluru-india
Document Controller,El Alfy Group -,"Maadi, Cairo, Egypt",2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/elnpskctbwln-document-controller-el-alfy-group-cairo-egypt
Senior Outsystems Developer,Link Development -,"Cairo, Egypt",3 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/so0iisbrp8l0-senior-outsystems-developer-link-development-cairo-egypt
Material Control,Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt",5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/ggtduwl8tz85-material-control-doosan-enerbility-co-ltd-matruh-egypt
Production Planning Engineer,Confidential -,"Obour City, Cairo, Egypt",3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/eus7vl5nyxug-production-planning-engineer-cairo-egypt
Supply Chain Analyst,Akhnaton Trading and distribution - EVA Group Limted -,"Cairo, Egypt",1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/o28dqfvkorh4-supply-chain-analyst-akhnaton-trading-and-distribution-eva-group-limted-cairo-egypt
IT Manager,Everlast -,"Heliopolis, Cairo, Egypt",5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/tap2sw5mahey-it-manager-everlast-cairo-egypt
Technical and Sales Operation,Turbo Compression -,"Heliopolis, Cairo, Egypt",5 - 9 Yrs of Exp,https://wuzzuf.net/jobs/p/scibedkjkmfi-technical-and-sales-operation-turbo-compression-cairo-egypt
Senior Frontend Engineer (React/TypeScript),Aptivamena Tech -,"Cairo, Egypt",6 - 15 Yrs of Exp,https://wuzzuf.net/jobs/p/uzrifevuk13z-senior-frontend-engineer-reacttypescript-aptivamena-tech-cairo-egypt
MAP Engineer,Zatus GmbH -,"Benghazi, Libya",4 - 20 Yrs of Exp,https://wuzzuf.net/jobs/p/lfjwfm8aejq5-map-engineer-zatus-gmbh-benghazi-libya
Planning Manager - Engineering,Kandil Glass -,"10th of Ramadan City, Cairo, Egypt",7+ Yrs of Exp,https://wuzzuf.net/jobs/p/6fprvdlqbrko-planning-manager-engineering-kandil-glass-cairo-egypt
Planning & Data Supervisor,Family Corporation -,"Haram, Giza, Egypt",1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/axweyysudwpr-planning-data-supervisor-family-corporation-giza-egypt
Quality Control Manager,Classique Group -,"Sidi Bishr, Alexandria, Egypt",6 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/2qlr37rdmo6y-quality-control-manager-classique-group-alexandria-egypt
"Director, AI & Data CoE",PULSE -,"Cairo, Egypt",10+ Yrs of Exp,https://wuzzuf.net/jobs/p/3yd6fw6zovno-director-ai-data-coe-pulse-cairo-egypt
Quality Control Engineer,Confidential -,"6th of October, Giza, Egypt",1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/8kr21zmyfznd-quality-control-engineer-giza-egypt
Cost Control Engineer,DME Holding -,"Cairo, Egypt",2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/fdjwyux9s6u0-cost-control-engineer-dme-holding-cairo-egypt
Production Planning Engineer,Frank Noe Egypt -,"6th of October, Giza, Egypt",0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/y6zisya74ay6-production-planning-engineer-frank-noe-egypt-giza-egypt
Continuous Improvement and Quality Engineer,Dreem Mashreq Foods -,"Bourj Alarab, Alexandria, Egypt",2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/9nck0tvzxf3a-continuous-improvement-and-quality-engineer-dreem-mashreq-foods-alexandria-egypt
Planning Engineer,ESC -,"Cairo, Egypt",3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/1zcid94wb5yl-planning-engineer-esc-cairo-egypt
Senior Electrical Maintenance Engineer,El Teriak Industrial Group -,"Giza, Egypt",3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/hm1mstwvb1co-senior-electrical-maintenance-engineer-el-teriak-industrial-group-giza-egypt
Quality Control Engineer,Frank Noe Egypt -,"6th of October, Giza, Egypt",0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/28wyo3jxw9dh-quality-control-engineer-frank-noe-egypt-giza-egypt
Production Engineer,Frank Noe Egypt -,"6th of October, Giza, Egypt",0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/2lweupuhtumu-production-engineer-frank-noe-egypt-giza-egypt
Circuit analysis Engineer,etisal for advanced industries -,"6th of October, Giza, Egypt",1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/pwzaei2tcm5b-circuit-analysis-engineer-etisal-for-advanced-industries-giza-egypt
Quality Assurance Engineer,Kandil Glass -,"10th of Ramadan City, Sharqia, Egypt",3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/wofxc5hbopaf-quality-assurance-engineer-kandil-glass-sharqia-egypt
Operational Excellence Manager,Kandil Glass -,"10th of Ramadan City, Cairo, Egypt",10+ Yrs of Exp,https://wuzzuf.net/jobs/p/5ptsz20h0esf-operational-excellence-manager-kandil-glass-cairo-egypt
Quality Assurance Engineer - Airlines Engineer,Air Arabia -,"Cairo, Egypt",3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/bqr7ilkceuvy-quality-assurance-engineer-airlines-engineer-air-arabia-cairo-egypt
Quality Control Manager,White House Furniture -,"Cairo, Egypt",5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/dvjl9r91bvud-quality-control-manager-white-house-furniture-cairo-egypt
Data Analyst,EGEC -,"Haram, Giza, Egypt",0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/vclkpyuwu8wh-data-analyst-egec-giza-egypt
IT Specialist,ZAD MEP -,"Heliopolis, Cairo, Egypt",3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/4jfdyicnq8om-it-specialist-zad-mep-cairo-egypt
Database Administrator (DBA),Etisalat Egypt -,"Cairo, Egypt",2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/9kgxhoepfg2o-database-administrator-dba-etisalat-egypt-cairo-egypt
Power BI Developer / BI Specialist,Advanced Solutions -,"Nasr City, Cairo, Egypt",2 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/5hygjfkymgpa-power-bi-developer-bi-specialist-advanced-solutions-cairo-egypt
Governance Senior Specialist,Etisalat Egypt -,"Maadi, Cairo, Egypt",2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/p9tf1rptlxkl-governance-senior-specialist-etisalat-egypt-cairo-egypt
Power BI Developer - Project Based,Pure Group -,"Cairo, Egypt",3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/yd0g3k6ypuqo-power-bi-developer-project-based-pure-group-cairo-egypt
Sr. Testing / QA Lead,Techsa -,"Cairo, Egypt",6+ Yrs of Exp,https://wuzzuf.net/jobs/p/7kjydbcqevjb-sr-testing-qa-lead-techsa-cairo-egypt
Sr. Application Solution Architect,Techsa -,"Cairo, Egypt",12+ Yrs of Exp,https://wuzzuf.net/jobs/p/wtflhuqz6zjr-sr-application-solution-architect-techsa-cairo-egypt
HR Data Analyst,Amreyah Cement -,"Sheraton, Cairo, Egypt",1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/pyqhdkta1ch6-hr-data-analyst-amreyah-cement-cairo-egypt
IT Infrastructure Solution Architect,Etisalat Egypt -,"New Cairo, Cairo, Egypt",3 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/okaq34psvuvb-it-infrastructure-solution-architect-etisalat-egypt-cairo-egypt
Data Analyst,TechJump -,"Alexandria, Egypt",3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/zqrw3masyxwc-data-analyst-techjump-alexandria-egypt
Senior BI Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/q9htrgprlbhs-senior-bi-analyst-ibn-sina-pharma-cairo-egypt
Senior Full stack Developer (.Net Core & Angular),BI-Technologies -,"New Cairo, Cairo, Egypt",3 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/cvpdwcj5ufme-senior-full-stack-developer-net-core-angular-bi-technologies-cairo-egypt
Quality Assurance Coordinator,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/odjrkv7zfrph-quality-assurance-coordinator-ibn-sina-pharma-cairo-egypt
IT Operations Specialist,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt",2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/jl53ag3l8hsn-it-operations-specialist-riseup-endemag-for-administrative-skills-development-cairo-egypt
Business Analyst Lead,Tawfeer -,"Maadi, Cairo, Egypt",5 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/xyblxqvbjreb-business-analyst-lead-tawfeer-cairo-egypt
Odoo Functional Consultant,International Coffee Industries (Café Najjar Egypt) -,"Hawamdeyya, Giza, Egypt",5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/2qkymkmacqqj-odoo-functional-consultant-international-coffee-industries-cafe-najjar-egypt-giza-egypt
Software Support & Testing Specialist,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/hx8ignxxsdqr-software-support-testing-specialist-ibn-sina-pharma-cairo-egypt
Technical Sales software,Nano Shield -,"Maadi, Cairo, Egypt",1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/gxvaexagncer-technical-sales-software-nano-shield-cairo-egypt
IT Security Head,El Banna Group Company -,"Alsadat City, Monufya, Egypt",7 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/xhbypglztbj5-it-security-head-el-banna-group-company-monufya-egypt
Business Analyst,Confidential -,"Dokki, Giza, Egypt",2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/xnpqgweb1agp-business-analyst-giza-egypt
Product Owner,Confidential -,"Dokki, Giza, Egypt",3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/ntew5pwqu77n-product-owner-giza-egypt
IT Manager / System Administrator,Tahya Masr Holding -,"New Cairo, Cairo, Egypt",5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/x5l8irjp3vyu-it-manager-system-administrator-tahya-masr-holding-cairo-egypt
ETL Developer,ITGoals -,"New Cairo, Cairo, Egypt",1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/gxusrflaybks-etl-developer-itgoals-cairo-egypt
Senior Product Manager,Al Mahrousa -,"Sidi Bishr, Alexandria, Egypt",5 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/2rq25t2etouk-senior-product-manager-al-mahrousa-alexandria-egypt
Technical Support / Application Support Engineer,eVision -,"New Cairo, Cairo, Egypt",0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/8xt2fry7ev52-technical-support-application-support-engineer-evision-cairo-egypt
Odoo Developer,Confidential -,"Cairo, Egypt",3+ Yrs of Exp,https://wuzzuf.net/jobs/p/9buzgwnwk1nw-odoo-developer-cairo-egypt
IT Help Desk Specialist,Erada -,"Minya, Egypt",2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/moo5hspotxae-it-help-desk-specialist-erada-minya-egypt
IT Support Engineer,El - Haggar Misr -,"Abu Rawash, Giza, Egypt",2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/7sfpwc6dzwda-it-support-engineer-el-haggar-misr-giza-egypt
Software Development Intern – Full-Stack & AI,Sherkety -,"Alexandria, Egypt",0 - 1 Yrs of Exp,https://wuzzuf.net/internship/rn5qmqxnv4w5-software-development-intern-full-stack-ai-sherkety-alexandria-egypt
IT Technical Support Specialist,AlAlson Azhari Language Schools -,"Haram, Giza, Egypt",3+ Yrs of Exp,https://wuzzuf.net/jobs/p/f1ex0h8aqfro-it-technical-support-specialist-alalson-azhari-language-schools-giza-egypt
IT Specialist,Sokkar for Industrial Sewing Machines -,"Cairo, Egypt",2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/hbtiddur59la-it-specialist-sokkar-for-industrial-sewing-machines-cairo-egypt
Oracle APEX Developer,ICIS -,"New Cairo, Cairo, Egypt",5 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/8x5hraf4fzcq-oracle-apex-developer-icis-cairo-egypt
Implementation Specialist (Trainee / Fresh Grade),Millensys -,"New Cairo, Cairo, Egypt",0 - 1 Yrs of Exp,https://wuzzuf.net/jobs/p/k2kjduvlypwl-implementation-specialist-trainee-fresh-grade-millensys-cairo-egypt
Technical Support Specialist - Rotational Shifts,Orion -,"Madinaty, Cairo, Egypt",2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/dc54nmpzpbq0-technical-support-specialist-rotational-shifts-orion-cairo-egypt
MIS Manager,Etisalat Egypt -,"Mohandessin, Giza, Egypt",5 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/hy8k8sk0t6zf-mis-manager-etisalat-egypt-giza-egypt
B2B Lead Generation & Data Specialist – IT (Part-Time),Masar Architects -,"New Cairo, Cairo, Egypt",5 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/glflzjetuugr-b2b-lead-generation-data-specialist-it-part-time-masar-architects-cairo-egypt
Junior Manual QA Engineer,Vertex Technologies -,"Cairo, Egypt",1+ Yrs of Exp,https://wuzzuf.net/jobs/p/hf3lnrdxr6fq-junior-manual-qa-engineer-vertex-technologies-cairo-egypt
Middle Manual QA Engineer,Vertex Technologies -,"Cairo, Egypt",2+ Yrs of Exp,https://wuzzuf.net/jobs/p/omequidhy5gs-middle-manual-qa-engineer-vertex-technologies-cairo-egypt
Software Developer,classera -,"New Cairo, Cairo, Egypt",No Experince Found,https://wuzzuf.net/internship/el5eb5whgnay-software-developer-classera-cairo-egypt
Senior IOS Developer.,Vertex Technologies -,"Cairo, Egypt",5+ Yrs of Exp,https://wuzzuf.net/jobs/p/9ymk8acrcpe7-senior-ios-developer-vertex-technologies-cairo-egypt
Mid Level iOS Developer,Efada Technology -,"6th of October, Giza, Egypt",1 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/btztixfjfcyt-mid-level-ios-developer-efada-technology-giza-egypt
Senior Backend Developer PHP / Laravel,Sinmar Soft -,"New Nozha, Cairo, Egypt",5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/i4zigycdwgeg-senior-backend-developer-php-laravel-sinmar-soft-cairo-egypt
Full Stack .NET Developer – AI-Assisted Development,Roaya -,"Maadi, Cairo, Egypt",0 - 1 Yrs of Exp,https://wuzzuf.net/jobs/p/l7avtmywmfxg-full-stack-net-developer-ai-assisted-development-roaya-cairo-egypt
"AI & API Integration Developer (Full-Time, Remote)",iBrokerage Ltd. -,"Cairo, Egypt",3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/izzdd2byxhfw-ai-api-integration-developer-full-time-remote-ibrokerage-ltd-cairo-egypt
AI & Business Process Transformation Manager,Luxury Hospitality -,"Giza, Egypt",3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/7odmfeuocw2j-ai-business-process-transformation-manager-luxury-hospitality-giza-egypt
Senior AI & Software Engineer,The-Code -,"Cairo, Egypt",5 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/3sknscktm5if-senior-ai-software-engineer-the-code-cairo-egypt
